ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
WIMI,WiMi Hologram Cloud Inc.,36828020.0,USD,Technology services,Packaged software,NASDAQ,Neutral,2025-09-03,2022-05-16,"NASDAQ Composite, NASDAQ Computer",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
AGYS,"Agilysys, Inc.",3035632578.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-10-28,2025-07-21,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
WAY,Waystar Holding Corp.,6474720020.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-11-05,2025-07-30,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
CXM,"Sprinklr, Inc.",2166472752.0,USD,Technology services,Packaged software,NYSE,Neutral,2025-09-03,2025-06-04,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
DLO,DLocal Limited,4170791642.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-11-18,2025-08-13,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
SRAD,Sportradar Group AG,9885153710.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-11-12,2025-08-05,"NASDAQ Composite, NASDAQ Computer",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
DDOG,"Datadog, Inc.",44049998216.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-10-30,2025-08-07,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Information Technology, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer",True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
TOST,"Toast, Inc.",25582040623.0,USD,Technology services,Packaged software,NYSE,Buy,2025-11-11,2025-08-05,"ISE CTA Cloud Computing, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, KBW NASDAQ Financial Technology Index",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
IAS,Integral Ad Science Holding Corp.,1467223809.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-11-06,2025-08-07,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
TRAK,"ReposiTrak, Inc.",286573652.0,USD,Technology services,Packaged software,NYSE,Strong buy,2025-09-24,2025-05-15,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
LIF,"Life360, Inc.",6994887544.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-11-18,2025-08-11,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
DV,"DoubleVerify Holdings, Inc.",2621326597.0,USD,Technology services,Packaged software,NYSE,Buy,2025-11-11,2025-08-05,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
DAY,"Dayforce, Inc.",10978209857.0,USD,Technology services,Packaged software,NYSE,Neutral,2025-10-29,2025-08-06,"S&P 500, S&P 500 Industrials, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
PLTR,Palantir Technologies Inc.,381639044047.0,USD,Technology services,Packaged software,NASDAQ,Neutral,2025-11-10,2025-08-04,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer",True,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
MGNI,"Magnite, Inc.",3579918497.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-11-05,2025-08-06,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
FIS,"Fidelity National Information Services, Inc.",36566497803.0,USD,Technology services,Packaged software,NYSE,Buy,2025-10-30,2025-08-05,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
GTM,ZoomInfo Technologies Inc.,3259592609.0,USD,Technology services,Packaged software,NASDAQ,Neutral,2025-11-03,2025-08-04,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Computer",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
YXT,YXT.COM GROUP HOLDING LIMITED - American Depository Shares,51665020.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
PRTH,"Priority Technology Holdings, Inc.",670511401.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-11-06,2025-08-07,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
PLTK,Playtika Holding Corp.,1382932862.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-11-05,2025-08-07,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
RAMP,"LiveRamp Holdings, Inc.",1774626641.0,USD,Technology services,Packaged software,NYSE,Buy,2025-11-05,2025-08-06,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
BULL,Webull Corporation,7271202991.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
MNDO,MIND C.T.I. Ltd.,24032263.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Computer",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
TWLO,Twilio Inc.,15717739281.0,USD,Technology services,Packaged software,NYSE,Buy,2025-10-30,2025-08-07,"ISE CTA Cloud Computing, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
MTLS,Materialise NV,298879958.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-10-23,2025-07-24,"NASDAQ Composite, NASDAQ Computer",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
GTLB,GitLab Inc.,7230804343.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-09-03,2025-06-10,"NASDAQ Composite, ISE CTA Cloud Computing, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Computer",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
FIVN,"Five9, Inc.",2008057235.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-11-10,2025-07-31,"NASDAQ Composite, Russell 2000, ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
BILI,Bilibili Inc.,9400691049.79512,USD,Technology services,Packaged software,NASDAQ,Buy,2025-11-13,2025-08-21,"NASDAQ Composite, NASDAQ Golden Dragon China, NASDAQ Computer",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
PERF,Perfect Corp.,206753369.0,USD,Technology services,Packaged software,NYSE,Buy,2025-11-26,2025-07-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
CERT,"Certara, Inc.",1745978306.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-11-05,2025-08-06,"NASDAQ Composite, Russell 3000, Russell 1000",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
LHAI,Linkhome Holdings Inc.,134871300.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
NAMI,Jinxin Technology Holding Company,65962385.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
DSP,Viant Technology Inc.,635806473.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-11-11,2025-08-11,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
TUYA,Tuya Inc.,1603047328.48644,USD,Technology services,Packaged software,NYSE,Strong buy,2025-11-24,2025-08-26,NASDAQ Golden Dragon China,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
NABL,"N-able, Inc.",1459349615.0,USD,Technology services,Packaged software,NYSE,Buy,2025-11-06,2025-08-07,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
GLE,Global Engine Group Holding Limited,16287399.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Computer",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
CCCS,CCC Intelligent Solutions Holdings Inc.,6304152191.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-11-11,2025-07-31,"NASDAQ Composite, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Computer",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
NTNX,"Nutanix, Inc.",18256072104.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-08-27,2025-05-28,"NASDAQ Composite, ISE CTA Cloud Computing, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Computer",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
CTW,CTW Cayman,137280000.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
LGCB,Linkage Global Inc,30450483.0,USD,Technology services,Packaged software,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
OLO,Olo Inc.,1739434912.0,USD,Technology services,Packaged software,NYSE,Neutral,2025-11-05,2025-08-04,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
SEMR,"SEMrush Holdings, Inc.",1142060567.0,USD,Technology services,Packaged software,NYSE,Buy,2025-11-05,2025-08-04,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
BILL,"BILL Holdings, Inc.",4185992717.0,USD,Technology services,Packaged software,NYSE,Buy,2025-08-27,2025-05-08,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, KBW NASDAQ Financial Technology Index",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
INFA,Informatica Inc.,8663580407.0,USD,Technology services,Packaged software,NYSE,Neutral,2025-10-29,2025-08-06,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
FORA,Forian Inc.,59735638.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-11-06,2025-08-13,NASDAQ Composite,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
AVDX,"AvidXchange Holdings, Inc.",2060371573.0,USD,Technology services,Packaged software,NASDAQ,Neutral,2025-11-05,2025-08-06,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
CCLDO,"CareCloud, Inc. - 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock",155745112.0,USD,Technology services,Packaged software,NASDAQ,Neutral,2025-10-30,2025-08-05,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
CCLD,"CareCloud, Inc.",155745112.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-10-30,2025-08-05,NASDAQ Composite,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Packaged software,ticker_universe_industry_Packaged_software,simple_universe_generator,2025-09-28T21:04:25.217329
